SMILES,InChIKey,AromaticRingCount,HBondDonorCount,HBondAcceptorCount,FractionCarbonSP3,HeteroatomCount,HeterocycleCount,RotatableBondCount,MolecularMass,DegreeOfUnsaturation,MinEllipsoidLength,MaxDistance,LongestPiChain,LinkerLength,MaxAbsorbanceWavelength,MaxAbsorbanceWavelength_1,MolecularMass,MaxAbsorbanceWavelength
CC1=C/C(=C(/c2cccc(S(=O)(=O)O)c2)c2cc(C)c(O)c(C(=O)O)c2)C=C(C(=O)O)C1=O,NBSHSIJNFTUXBU-XDJHFCHBSA-N,2,4,6,0.086956522,10,0,5,470,15,92,12,10,2,433.2250465,433,470,433.2250465
CN1C(=CC=Cc2[o+]c3ccccc3n2C)Oc2ccccc21,XLKQLIAYDLMVLG-UHFFFAOYSA-N,3,0,3,0.105263158,4,2,2,305,12,306,15,12,4,485.5844827,486,305,485.5844827
Cc1cc(C=Cc2ccc3cc(N(C)C)ccc3[n+]2C)c(C)n1-c1ccccc1,QMHSXPLYMTVAMK-UHFFFAOYSA-N,4,0,2,0.192307692,3,2,4,383,14,179,12,15,3,494.4049092,494,383,494.4049092
CC1=NN(c2ccc(S(=O)(=O)[O-])cc2)C(=O)C1N=Nc1ccc(C)c(S(=O)(=O)Nc2ccccc2)c1,DNNYNDQWWWDTPP-UHFFFAOYSA-M,3,1,9,0.130434783,13,1,7,527,17,524,19,6,2,381.0175156,381,527,381.0175156
O=S(=O)([O-])c1cccc2c1-c1nc3nc(nc4nc(nc5[n-]c([n-]c-2n1)c1cccc(S(=O)(=O)[O-])c51)-c1ccccc1-4)-c1ccccc1-3,JNEOISBNQDOISL-UHFFFAOYSA-L,6,0,12,0.0,16,5,2,671,32,239,16,13,0,514.0788339,514,671,514.0788339
CC1(C)Oc2cc3c(cc2O1)-c1nc-3nc2nc([nH]c3nc(nc4[nH]c(n1)c1cc5c(cc41)OC(C)(C)O5)-c1cc4c(cc1-3)OC(C)(C)O4)-c1cc3c(cc1-2)OC(C)(C)O3,ARFYCKIDVNOKST-UHFFFAOYSA-N,6,2,14,0.272727273,16,9,0,803,32,378,20,15,0,568.5474877,569,803,568.5474877
Nc1ccc([O-])c2c1C(=O)c1c(O)c(S(=O)(=O)O)cc(N)c1C2=O,SPHQXPPVJCWUGX-UHFFFAOYSA-M,2,4,8,0.0,10,0,1,349,12,246,11,7,1,626.2657202,626,349,626.2657202
Nc1cc(S(=O)(=O)O)c(O)c2c1C(=O)c1c(O)c(S(=O)(=O)O)cc(N)c1C2=O,MVWQCFNJWMLYDF-UHFFFAOYSA-N,2,6,10,0.0,14,0,2,430,11,413,14,7,1,555.3516738,555,430,555.3516738
CC1=C/C(=C(\c2cc(C)c([O-])c(C(=O)[O-])c2)c2ccccc2S(=O)(=O)O)C=C(C(=O)[O-])C1=O,KXOWVZNVTQLQPD-RGEXLXHISA-K,2,1,8,0.086956522,10,0,5,467,18,115,11,10,2,475.1569022,475,467,475.1569022
CCN1C(=Cc2sc3ccccc3[n+]2C)C=Cc2ccccc21,FSOAORRRECZDNM-UHFFFAOYSA-N,3,0,2,0.15,3,2,2,319,12,187,14,11,2,508.4858543,508,319,508.4858543
CCN(Cc1cccc(S(=O)(=O)[O-])c1)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)c(S(=O)(=O)[O-])c1,CXNNGVUGAQWNGE-UHFFFAOYSA-M,3,0,8,0.21875,11,0,9,621,18,439,18,10,2,633.3920131,633,621,633.3920131
CCN(Cc1cccc(S(=O)(=O)O)c1)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)c(S(=O)(=O)O)c1,CXNNGVUGAQWNGE-UHFFFAOYSA-O,3,2,6,0.21875,11,0,9,623,16,412,19,10,2,618.9312462,619,623,618.9312462
Nc1c(S(=O)(=O)[O-])cc(NC2CCCCC2)c2c1C(=O)c1ccccc1C2=O,GMBNNHLANOGOAU-UHFFFAOYSA-M,2,2,7,0.3,8,0,3,399,13,182,13,7,1,605.1303095,605,399,605.1303095
CCN1C(=CC=CC=CC2=[N+](CCCCCC(=O)O)c3ccc(S(=O)(=O)[O-])cc3C2(C)C)C(C)(C)c2cc(S(=O)(=O)O)ccc21,HPICMEGAGMPYID-UHFFFAOYSA-N,2,2,7,0.393939394,12,2,12,657,15,665,20,16,6,684.1687049,684,657,684.1687049
COc1ccc(C(OCCCN2C(=CC=CC=CC3=[N+](CCCOP(OCCC#N)N(C(C)C)C(C)C)c4ccccc4C3(C)C)C(C)(C)c3ccccc32)(c2ccccc2)c2ccccc2)cc1,WQVYZWOFBGLVGB-UHFFFAOYSA-N,5,0,7,0.366666667,9,2,23,944,27,1234,28,16,6,630.6343537,631,944,630.6343537
CC[N+]1=C(C=CC=CC=CC=C2N(CCCCCC(=O)ON3C(=O)CCC3=O)c3ccc(S(=O)(=O)[O-])cc3C2(C)C)C(C)(C)c2cc(S(=O)(=O)O)ccc21,ROGODJHHEBREAB-UHFFFAOYSA-N,2,1,10,0.384615385,15,3,14,780,19,666,24,18,8,754.3289741,754,780,754.3289741
c1ccc2c(c1)-c1nc-2nc2[nH]c(nc3nc([n-]c4nc(n1)-c1ccccc1-4)-c1ccccc1-3)c1ccccc21,YSZJMRCSMGEWDG-UHFFFAOYSA-N,6,1,6,0.0,8,5,0,514,29,17337,16,13,0,515.5920127,516,514,515.5920127
CCN1C(=CC=CC=CC2=[N+](CCCCCC(=O)ON3C(=O)CCC3=O)c3ccc(S(=O)(=O)[O-])cc3C2(C)C)C(C)(C)c2cc(S(=O)(=O)O)ccc21,WXWLHDCCGVWTDZ-UHFFFAOYSA-N,2,1,10,0.405405405,15,3,13,754,18,955,25,16,6,675.2504235,675,754,675.2504235
C#CCN=C([O-])CCCCC[N+]1=C(C=CC=CC=C2N(C)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,AYVUBCDPIPUAPY-UHFFFAOYSA-N,2,0,3,0.371428571,4,2,10,520,17,276,18,16,6,641.4051646,641,520,641.4051646
CCN1c2ccccc2C=C/C1=C/c1[n+](CC)c2ccccc2cc1,AGJZCWVTGOVGBS-UHFFFAOYSA-N,3,0,1,0.173913043,2,2,3,327,13,122,14,12,2,496.6288721,497,327,496.6288721
CCN1c2ccccc2S/C1=C\C=C\c1[n+](CC)c2ccccc2o1,CGMUVVDKGKQWHC-UHFFFAOYSA-N,3,0,3,0.19047619,4,2,4,349,12,586,16,13,4,504.0891091,504,349,504.0891091
CCN1C=C/C(=C\c2[n+](CC)c3ccccc3cc2)c2ccccc21,CJRNTVYQEXDVCB-UHFFFAOYSA-N,3,0,1,0.173913043,2,2,3,327,13,263,14,11,2,540.8187202,541,327,540.8187202
CCN1c2ccccc2O/C1=C\C=C/C=C\C=C\c1[n+](CC)c2ccccc2cc1,CKDJYLWILGWPSZ-UHFFFAOYSA-N,3,0,2,0.148148148,3,2,6,396,15,1569,20,17,8,710.5335829,711,396,710.5335829
CCN1c2ccccc2O/C1=C\C=C/c1cc[n+](CC)c2ccccc12,COUGSHBDUFTYFC-UHFFFAOYSA-N,3,0,2,0.173913043,3,2,4,343,13,220,15,12,4,543.3773732,543,343,543.3773732
CCN1c2ccccc2S/C1=C\C=C\c1cc[n+](CC)c2ccccc12,DJAQPUXEDANWNL-UHFFFAOYSA-N,3,0,2,0.173913043,3,2,4,360,13,479,16,13,4,582.169867,582,360,582.169867
CCN1C=C/C(=C/c2[n+](CC)c3ccccc3o2)c2ccccc21,FDTNKKIOSYITHD-UHFFFAOYSA-N,3,0,2,0.19047619,3,2,3,317,12,100,13,10,2,487.2962515,487,317,487.2962515
CCN1c2ccccc2S/C1=C\C=C/C=C\c1[n+](CC)c2ccccc2s1,FYXWDSGGZAMYFZ-UHFFFAOYSA-N,3,0,3,0.173913043,4,2,5,392,13,550,17,15,6,635.0695185,635,392,635.0695185
CCN1c2ccccc2C=C/C1=C\C=C/c1[n+](CC)c2ccccc2cc1,HQCBCYUEDZNVBO-UHFFFAOYSA-N,3,0,1,0.16,2,2,4,353,14,224,15,14,4,602.000594,602,353,602.000594
CCN1c2ccccc2C=C/C1=C\C=C\C=C/c1[n+](CC)c2ccccc2cc1,HUKKJPBJMKANKC-UHFFFAOYSA-N,3,0,1,0.148148148,2,2,5,380,15,344,16,16,6,708.7291289,709,380,708.7291289
CCN1c2ccccc2S/C1=C\C=C/C=C/c1[n+](CC)c2ccccc2cc1,ICQLMXQDTPECJU-UHFFFAOYSA-N,3,0,2,0.16,3,2,5,386,14,338,18,16,6,666.245839,666,386,666.245839
CCN1c2ccccc2S/C1=C\C=C\c1[n+](CC)c2ccccc2s1,JGLWGLKNDHZFAP-UHFFFAOYSA-N,3,0,3,0.19047619,4,2,4,366,12,338,16,13,4,558.8170558,559,366,558.8170558
CCN1c2ccccc2O/C1=C\C=C/C=C\C=C/c1[n+](CC)c2ccccc2s1,KKFSTMHKQKXIPU-UHFFFAOYSA-N,3,0,3,0.16,4,2,6,402,14,438,19,16,8,669.226343,669,402,669.226343
CCN1c2ccccc2S/C1=C\C=C/C=C\c1cc[n+](CC)c2ccccc12,LDIURJODNUMFCD-UHFFFAOYSA-N,3,0,2,0.16,3,2,5,386,14,642,18,15,6,660.5633786,661,386,660.5633786
CCN1c2ccccc2S/C1=C\C=C/C=C\c1[n+](CC)c2ccccc2o1,LPLCWEKDGKZACI-UHFFFAOYSA-N,3,0,3,0.173913043,4,2,5,376,13,727,17,15,6,610.826107,611,376,610.826107
CCN1C=C/C(=C\C=C/C=C/c2cc[n+](CC)c3ccccc23)c2ccccc21,MLENNECRNUHQQS-UHFFFAOYSA-N,3,0,1,0.148148148,2,2,5,380,15,469,17,14,6,758.571887,759,380,758.571887
CCN1c2ccccc2C=C/C1=C\C=C\C=C\c1cc[n+](CC)c2ccccc12,NNPJVUBHKCZPII-UHFFFAOYSA-N,3,0,1,0.148148148,2,2,5,380,15,1332,18,15,6,734.2631114,734,380,734.2631114
CCN1c2ccccc2C=C/C1=C\C=C\C=C\C=C\c1[n+](CC)c2ccccc2s1,OKFVOTSYAZGOPA-UHFFFAOYSA-N,3,0,2,0.148148148,3,2,6,412,15,1422,21,17,8,767.1690427,767,412,767.1690427
CCN1C=C/C(=C\C=C/C=C\C=C/c2cc[n+](CC)c3ccccc23)c2ccccc21,OLZAYSQTVGLQDQ-UHFFFAOYSA-N,3,0,1,0.137931034,2,2,6,406,16,570,19,16,8,782.6912098,783,406,782.6912098
CCN1c2ccccc2C=C/C1=C\C=C\c1cc[n+](CC)c2ccccc12,ONKAXOHRKIYFDJ-UHFFFAOYSA-N,3,0,1,0.16,2,2,4,353,14,493,17,13,4,623.8562092,624,353,623.8562092
CCN1c2ccccc2C=C/C1=C\C=C\C=C\c1[n+](CC)c2ccccc2o1,OOAUUXKHPBKQDP-UHFFFAOYSA-N,3,0,2,0.16,3,2,5,369,14,1175,18,15,6,634.384871,634,369,634.384871
CCN1c2ccccc2C=C/C1=C\C=C\C=C\C=C\c1cc[n+](CC)c2ccccc12,OWYFZVWJTBJIIS-UHFFFAOYSA-N,3,0,1,0.137931034,2,2,6,406,16,2290,21,17,8,782.901066,783,406,782.901066
CCN1C=C/C(=C/c2cc[n+](CC)c3ccccc23)c2ccccc21,PBYSOAALDIVUSK-UHFFFAOYSA-N,3,0,1,0.173913043,2,2,3,327,13,217,13,10,2,535.7659142,536,327,535.7659142
CCN1c2ccccc2C=C/C1=C\C=C\C=C\C=C/c1[n+](CC)c2ccccc2cc1,PCMCPHHEWAWVOE-UHFFFAOYSA-N,3,0,1,0.137931034,2,2,6,406,16,527,19,18,8,788.0670994,788,406,788.0670994
CCN1c2ccccc2O/C1=C\C=C/C=C/c1cc[n+](CC)c2ccccc12,QQWIIVKRRBJCBB-UHFFFAOYSA-N,3,0,2,0.16,3,2,5,369,14,399,18,14,6,650.0394615,650,369,650.0394615
CCN1c2ccccc2C=C/C1=C\C=C\c1[n+](CC)c2ccccc2o1,QUZOOPRJWZTRMY-UHFFFAOYSA-N,3,0,2,0.173913043,3,2,4,343,13,680,16,13,4,535.1368661,535,343,535.1368661
CCN1c2ccccc2O/C1=C\c1[n+](CC)c2ccccc2cc1,RCVUTZHFPPLMTK-UHFFFAOYSA-N,3,0,2,0.19047619,3,2,3,317,12,161,13,11,2,475.4349449,475,317,475.4349449
CCN1C=C/C(=C/c2[n+](CC)c3ccccc3s2)c2ccccc21,SFTZBFQWPQDHFP-UHFFFAOYSA-N,3,0,2,0.19047619,3,2,3,333,12,109,13,10,2,538.1596172,538,333,538.1596172
CCN1c2ccccc2O/C1=C/c1[n+](CC)c2ccccc2o1,SXJYGDWAGOIGMC-UHFFFAOYSA-N,3,0,3,0.210526316,4,2,3,307,11,112,13,10,2,436.225033,436,307,436.225033
C/C=C1\C(=C)C=C/C(=C\C=C\c2[n+](CC)c3ccccc3s2)N1CC,TVEQOZDZLORQGM-PTXOJBNSSA-N,2,0,2,0.227272727,3,2,4,350,11,326,16,12,4,605.5739169,606,350,605.5739169
CCN1C=C/C(=C\C=C/c2cc[n+](CC)c3ccccc23)c2ccccc21,TVRUNVZRBXNONE-UHFFFAOYSA-N,3,0,1,0.16,2,2,4,353,14,183,14,12,4,658.1491508,658,353,658.1491508
CCN1c2ccccc2S/C1=C\C=C/C=C\C=C\c1cc[n+](CC)c2ccccc12,TWHSTEAIMSNAOL-UHFFFAOYSA-N,3,0,2,0.148148148,3,2,6,412,15,1124,20,17,8,732.0604502,732,412,732.0604502
CCN1c2ccccc2S/C1=C\c1[n+](CC)c2ccccc2cc1,UJCNDPYFYMAVSQ-UHFFFAOYSA-N,3,0,2,0.19047619,3,2,3,333,12,211,14,12,2,495.8413006,496,333,495.8413006
CCN1c2ccccc2S/C1=C\C=C/C=C\C=C\c1[n+](CC)c2ccccc2s1,UMTQICYFVVKJFV-UHFFFAOYSA-N,3,0,3,0.16,4,2,6,418,14,1294,20,17,8,687.8796607,688,418,687.8796607
CCN1c2ccccc2O/C1=C\C=C/C=C/c1[n+](CC)c2ccccc2o1,VAGJCLDZLVQVPR-UHFFFAOYSA-N,3,0,3,0.173913043,4,2,5,359,13,898,17,14,6,592.8840882,593,359,592.8840882
CCN1c2ccccc2O/C1=C\C=C/c1[n+](CC)c2ccccc2o1,VZUFSMBGWBLOCB-UHFFFAOYSA-N,3,0,3,0.19047619,4,2,4,333,12,173,14,12,4,465.7975411,466,333,465.7975411
CCN1c2ccccc2S/C1=C/c1[n+](CC)c2ccccc2s1,WCJHMNADZOKGGL-UHFFFAOYSA-N,3,0,3,0.210526316,4,2,3,340,11,113,13,11,2,508.1136245,508,340,508.1136245
CCN1c2ccccc2O/C1=C/c1[n+](CC)c2ccccc2s1,XNZUELXWWBKRLE-UHFFFAOYSA-N,3,0,3,0.210526316,4,2,3,323,11,114,13,10,2,480.1722106,480,323,480.1722106
CCN1c2ccccc2S/C1=C\C=C/c1[n+](CC)c2ccccc2cc1,XTSHHMSLNDHACR-UHFFFAOYSA-N,3,0,2,0.173913043,3,2,4,360,13,192,15,14,4,563.6740754,564,360,563.6740754
CCN1c2ccccc2O/C1=C\C=C/C=C\C=C/c1[n+](CC)c2ccccc2o1,YFMAIXBXQGUOBW-UHFFFAOYSA-N,3,0,3,0.16,4,2,6,385,14,1305,19,16,8,636.5643597,637,385,636.5643597
CCN1c2ccccc2O/C1=C\C=C/C=C\C=C/c1cc[n+](CC)c2ccccc12,YGOJAHFWSNHIIB-UHFFFAOYSA-N,3,0,2,0.148148148,3,2,6,396,15,738,20,16,8,698.3484913,698,396,698.3484913
C=C1N(CC)/C(=C/C=C\c2[n+](CC)c3ccccc3s2)OC1=C,YHKSRKKRTTTZQQ-UHFFFAOYSA-N,2,0,3,0.210526316,4,2,4,325,10,155,13,11,4,535.2773917,535,325,535.2773917
CCN1C(=Cc2cc(C)nc(-c3ccccc3)[n+]2C)C=Cc2ccccc21,UBRISJAVIYTNDW-UHFFFAOYSA-N,3,0,2,0.166666667,3,2,3,354,14,233,14,13,2,425.0321404,425,354,425.0321404
